ctau,m,lam121,BrP,BrD,Br,Br_charged
52126.331352515415,0.5,0.1,5.657284852362789e-06,1.0,5.657284852362789e-06,0.0
41161.676757613226,0.5,0.11253355826007651,7.164262576228245e-06,1.0,7.164262576228245e-06,0.0
32503.412182228643,0.5,0.12663801734674032,9.072662769621476e-06,1.0,9.072662769621476e-06,0.0
25666.393760124112,0.5,0.14251026703029981,1.1489412484651119e-05,1.0,1.1489412484651119e-05,0.0
20267.526527873884,0.5,0.160371874375133,1.4549919644569855e-05,1.0,1.4549919644569855e-05,0.0
16004.298671528091,0.5,0.18047217668271703,1.842565834907409e-05,1.0,1.842565834907409e-05,0.0
12637.831045402132,0.5,0.20309176209047358,2.3333773888820968e-05,1.0,2.3333773888820968e-05,0.0
9979.492185825375,0.5,0.22854638641349906,2.9549244957069898e-05,1.0,2.9549244957069898e-05,0.0
7880.328826138438,0.5,0.2571913809059345,3.74202834070534e-05,1.0,3.74202834070534e-05,0.0
6222.719678689982,0.5,0.289426612471675,4.738783262928513e-05,1.0,4.738783262928513e-05,0.0
4913.784824703869,0.5,0.3257020655659783,6.0010254185133414e-05,1.0,6.0010254185133414e-05,0.0
3880.1814239161026,0.5,0.3665241237079628,7.599458129022733e-05,1.0,7.599458129022733e-05,0.0
3063.994134788132,0.5,0.41246263829013524,9.623608288659307e-05,1.0,9.623608288659307e-05,0.0
2419.489975430353,0.5,0.46415888336127786,0.00012186834319791657,1.0,0.00012186834319791657,0.0
1910.5557921091622,0.5,0.5223345074266842,0.00015432664364542674,1.0,0.00015432664364542674,0.0
1508.6747503934614,0.5,0.5878016072274912,0.00019542816778471872,1.0,0.00019542816778471872,0.0
1191.3284667610083,0.5,0.6614740641230149,0.00024747347399868883,1.0,0.00024747347399868883,0.0
940.7352481673013,0.5,0.7443803013251689,0.0003133748426262251,1.0,0.0003133748426262251,0.0
742.8537400356863,0.5,0.8376776400682918,0.0003968185624037163,1.0,0.0003968185624037163,0.0
586.5961546142348,0.5,0.9426684551178852,0.000502470046497889,1.0,0.000502470046497889,0.0
463.2069949485306,0.5,1.0608183551394483,0.000636232946101805,1.0,0.000636232946101805,0.0
365.7724628460108,0.5,1.1937766417144364,0.0008055762597124241,1.0,0.0008055762597124241,0.0
288.833061753099,0.5,1.3433993325989002,0.0010199469335686639,1.0,0.0010199469335686639,0.0
228.07768773121398,0.5,1.5117750706156623,0.001291289739449215,1.0,0.001291289739449215,0.0
180.10206769640706,0.5,1.7012542798525891,0.0016347014294757348,1.0,0.0016347014294757348,0.0
142.2180096228766,0.5,1.9144819761699576,0.0020692524196180744,1.0,0.0020692524196180744,0.0
112.30277652995582,0.5,2.1544346900318834,0.002619016615668481,1.0,0.002619016615668481,0.0
88.68014430648108,0.5,2.424462017082328,0.0033143584403082004,1.0,0.0033143584403082004,0.0
70.02647874979833,0.5,2.728333376486768,0.004193535430625326,1.0,0.004193535430625326,0.0
55.29656908482926,0.5,3.07029062975785,0.005304684397369347,1.0,0.005304684397369347,0.0
43.66506223279296,0.5,3.455107294592218,0.006708267943782299,1.0,0.006708267943782299,0.0
34.48021624757133,0.5,3.8881551803080874,0.008480064075387421,1.0,0.008480064075387421,0.0
27.22738161097628,0.5,4.3754793750741845,0.010714781171254807,1.0,0.010714781171254807,0.0
21.500164154044302,0.5,4.923882631706739,0.013530367990734465,1.0,0.013530367990734465,0.0
16.977653791890884,0.5,5.541020330009492,0.01707305468775628,1.0,0.01707305468775628,0.0
13.406443142113758,0.5,6.235507341273912,0.02152309258351047,1.0,0.02152309258351047,0.0
10.586428485694263,0.5,7.017038286703826,0.027101038653339415,1.0,0.027101038653339415,0.0
8.359597463302164,0.5,7.896522868499725,0.03407423005206253,1.0,0.03407423005206253,0.0
6.601175254041782,0.5,8.886238162743403,0.04276278442809986,1.0,0.04276278442809986,0.0
5.212633135251539,0.5,10.0,0.05354401404164262,1.0,0.05354401404164262,0.0
998.3661122728266,0.5128205128205128,0.1,5.612126781927843e-06,1.0,5.612126781927843e-06,0.0
788.3620836697542,0.5128205128205128,0.11253355826007651,7.107075462830245e-06,1.0,7.107075462830245e-06,0.0
622.5319222356306,0.5128205128205128,0.12663801734674032,9.000242418349995e-06,1.0,9.000242418349995e-06,0.0
491.5837560304752,0.5128205128205128,0.14251026703029981,1.1397701229168063e-05,1.0,1.1397701229168063e-05,0.0
388.18023712776386,0.5128205128205128,0.160371874375133,1.4433779037014726e-05,1.0,1.4433779037014726e-05,0.0
306.52741195790327,0.5128205128205128,0.18047217668271703,1.8278581321869064e-05,1.0,1.8278581321869064e-05,0.0
242.0500718347619,0.5128205128205128,0.20309176209047358,2.3147520278654483e-05,1.0,2.3147520278654483e-05,0.0
191.13539275651996,0.5128205128205128,0.22854638641349906,2.9313379998335392e-05,1.0,2.9313379998335392e-05,0.0
150.93049998815363,0.5128205128205128,0.2571913809059345,3.712159338312533e-05,1.0,3.712159338312533e-05,0.0
119.18261447105535,0.5128205128205128,0.289426612471675,4.700958501567285e-05,1.0,4.700958501567285e-05,0.0
94.11282406982748,0.5128205128205128,0.3257020655659783,5.953126095124167e-05,1.0,5.953126095124167e-05,0.0
74.3164067486484,0.5128205128205128,0.3665241237079628,7.538801307100431e-05,1.0,7.538801307100431e-05,0.0
58.684120539542945,0.5128205128205128,0.41246263829013524,9.546796789471006e-05,1.0,9.546796789471006e-05,0.0
46.34004998582954,0.5128205128205128,0.46415888336127786,0.00012089566727270972,1.0,0.00012089566727270972,0.0
36.592526444052346,0.5128205128205128,0.5223345074266842,0.00015309494579066814,1.0,0.00015309494579066814,0.0
28.895372188164036,0.5128205128205128,0.5878016072274912,0.0001938684977673277,1.0,0.0001938684977673277,0.0
22.81729672776482,0.5128205128205128,0.6614740641230149,0.00024549854361890686,1.0,0.00024549854361890686,0.0
18.017730540813883,0.5128205128205128,0.7443803013251689,0.00031087415834485854,1.0,0.00031087415834485854,0.0
14.227742125400283,0.5128205128205128,0.8376776400682918,0.00039365227194628556,1.0,0.00039365227194628556,0.0
11.234969106034022,0.5128205128205128,0.9426684551178852,0.0004984611632171419,1.0,0.0004984611632171419,0.0
8.871719047268558,0.5128205128205128,1.0608183551394483,0.0006311575291369622,1.0,0.0006311575291369622,0.0
7.005573233966077,0.5128205128205128,1.1937766417144364,0.0007991510216889465,1.0,0.0007991510216889465,0.0
5.53196692489627,0.5128205128205128,1.3433993325989002,0.0010118136166263811,1.0,0.0010118136166263811,0.0
4.36833033302275,0.5128205128205128,1.5117750706156623,0.0012809954403708603,1.0,0.0012809954403708603,0.0
3.449462037187517,0.5128205128205128,1.7012542798525891,0.0016216738613171744,1.0,0.0016216738613171744,0.0
2.7238755860672903,0.5128205128205128,1.9144819761699576,0.002052768867085111,1.0,0.002052768867085111,0.0
2.150914585632844,0.5128205128205128,2.1544346900318834,0.0025981650733467344,1.0,0.0025981650733467344,0.0
1.6984746213639372,0.5128205128205128,2.424462017082328,0.0032879891201200184,1.0,0.0032879891201200184,0.0
1.3412043689166742,0.5128205128205128,2.728333376486768,0.004160200499421425,1.0,0.004160200499421425,0.0
1.0590850970482257,0.5128205128205128,3.07029062975785,0.005262563483941121,1.0,0.005262563483941121,0.0
0.8363089688528572,0.5128205128205128,3.455107294592218,0.006655076687844078,1.0,0.006655076687844078,0.0
0.6603932897678012,0.5128205128205128,3.8881551803080874,0.008412942869471075,1.0,0.008412942869471075,0.0
0.5214810714855209,0.5128205128205128,4.3754793750741845,0.01063016142090783,1.0,0.01063016142090783,0.0
0.41178872064751537,0.5128205128205128,4.923882631706739,0.013423813930280835,1.0,0.013423813930280835,0.0
0.325169904958335,0.5128205128205128,5.541020330009492,0.0169390804081906,1.0,0.0169390804081906,0.0
0.2567711590651377,0.5128205128205128,6.235507341273912,0.021354956997524203,1.0,0.021354956997524203,0.0
0.20275993295290407,0.5128205128205128,7.017038286703826,0.026890526388585537,1.0,0.026890526388585537,0.0
0.16010984473780773,0.5128205128205128,7.896522868499725,0.03381143468057115,1.0,0.03381143468057115,0.0
0.12643110504440397,0.5128205128205128,8.886238162743403,0.04243592306442807,1.0,0.04243592306442807,0.0
0.09983661122728263,0.5128205128205128,10.0,0.053139320032595916,1.0,0.053139320032595916,0.0
301.3924085597123,0.5256410256410257,0.1,5.566013351006817e-06,1.0,5.566013351006817e-06,0.0
237.99520465839814,0.5256410256410257,0.11253355826007651,7.0486785020662576e-06,1.0,7.0486785020662576e-06,0.0
187.93345761783135,0.5256410256410257,0.12663801734674032,8.926289943908882e-06,1.0,8.926289943908882e-06,0.0
148.40208458354292,0.5256410256410257,0.14251026703029981,1.1304049728968977e-05,1.0,1.1304049728968977e-05,0.0
117.18604546469781,0.5256410256410257,0.160371874375133,1.4315181351143567e-05,1.0,1.4315181351143567e-05,0.0
92.53622878810346,0.5256410256410257,0.18047217668271703,1.8128392714032256e-05,1.0,1.8128392714032256e-05,0.0
73.07144467899813,0.5256410256410257,0.20309176209047358,2.295732624793373e-05,1.0,2.295732624793373e-05,0.0
57.70103339420216,0.5256410256410257,0.22854638641349906,2.9072525006768456e-05,1.0,2.9072525006768456e-05,0.0
45.56375297333837,0.5256410256410257,0.2571913809059345,3.6816584140904987e-05,1.0,3.6816584140904987e-05,0.0
35.979521732863894,0.5256410256410257,0.289426612471675,4.662333496608956e-05,1.0,4.662333496608956e-05,0.0
28.411311616124262,0.5256410256410257,0.3257020655659783,5.904213374631265e-05,1.0,5.904213374631265e-05,0.0
22.435057190079707,0.5256410256410257,0.3665241237079628,7.476861164069987e-05,1.0,7.476861164069987e-05,0.0
17.71589421575636,0.5256410256410257,0.41246263829013524,9.468360157793928e-05,1.0,9.468360157793928e-05,0.0
13.989396381064214,0.5256410256410257,0.46415888336127786,0.00011990241163204134,1.0,0.00011990241163204134,0.0
11.04675884395809,0.5256410256410257,0.5223345074266842,0.00015183718721889183,1.0,0.00015183718721889183,0.0
8.723098383411669,0.5256410256410257,0.5878016072274912,0.00019227582662094053,1.0,0.00019227582662094053,0.0
6.888214586878321,0.5256410256410257,0.6614740641230149,0.00024348182390379698,1.0,0.00024348182390379698,0.0
5.4392944008418045,0.5256410256410257,0.7443803013251689,0.0003083205571115327,1.0,0.0003083205571115327,0.0
4.295151262474984,0.5256410256410257,0.8376776400682918,0.00039041897529926546,1.0,0.00039041897529926546,0.0
3.3916760167799174,0.5256410256410257,0.9426684551178852,0.000494367435513266,1.0,0.000494367435513266,0.0
2.678244722904468,0.5256410256410257,1.0608183551394483,0.0006259746843340358,1.0,0.0006259746843340358,0.0
2.1148820701853843,0.5256410256410257,1.1937766417144364,0.0007925897671730487,1.0,0.0007925897671730487,0.0
1.6700214631398924,0.5256410256410257,1.3433993325989002,0.0010035080959764223,1.0,0.0010035080959764223,0.0
1.3187362674569534,0.5256410256410257,1.5117750706156623,0.0012704831378896578,1.0,0.0012704831378896578,0.0
1.0413431093493801,0.5256410256410257,1.7012542798525891,0.0016083703333336413,1.0,0.0016083703333336413,0.0
0.8222989676932001,0.5256410256410257,1.9144819761699576,0.0020359360294306514,1.0,0.0020359360294306514,0.0
0.6493302603133069,0.5256410256410257,2.1544346900318834,0.002576871499686727,1.0,0.002576871499686727,0.0
0.512745124977291,0.5256410256410257,2.424462017082328,0.003261060495248096,1.0,0.003261060495248096,0.0
0.4048903605094928,0.5256410256410257,2.728333376486768,0.004126158037020027,1.0,0.004126158037020027,0.0
0.31972259909983064,0.5256410256410257,3.07029062975785,0.005219547786374532,1.0,0.005219547786374532,0.0
0.25246968153679855,0.5256410256410257,3.455107294592218,0.006600754247740959,1.0,0.006600754247740959,0.0
0.1993632613858172,0.5256410256410257,3.8881551803080874,0.008344392280365981,1.0,0.008344392280365981,0.0
0.1574276552671794,0.5256410256410257,4.3754793750741845,0.01054373652981439,1.0,0.01054373652981439,0.0
0.12431310799515728,0.5256410256410257,4.923882631706739,0.013314981873431284,1.0,0.013314981873431284,0.0
0.09816413001380353,0.5256410256410257,5.541020330009492,0.01680223409794376,1.0,0.01680223409794376,0.0
0.07751552975203807,0.5256410256410257,6.235507341273912,0.021183204724472996,1.0,0.021183204724472996,0.0
0.061210315335083955,0.5256410256410257,7.017038286703826,0.02667546653118087,1.0,0.02667546653118087,0.0
0.048334865483156984,0.5256410256410257,7.896522868499725,0.03354293204989572,1.0,0.03354293204989572,0.0
0.03816773706336071,0.5256410256410257,8.886238162743403,0.04210191624235295,1.0,0.04210191624235295,0.0
0.03013924085597123,0.5256410256410257,10.0,0.05272570708622571,1.0,0.05272570708622571,0.0
147.4827134322738,0.5384615384615384,0.1,5.518958650789565e-06,1.0,5.518958650789565e-06,0.0
116.46006193263422,0.5384615384615384,0.11253355826007651,6.989089538598095e-06,1.0,6.989089538598095e-06,0.0
91.96295423179403,0.5384615384615384,0.12663801734674032,8.850827944196919e-06,1.0,8.850827944196919e-06,0.0
72.61875711461552,0.5384615384615384,0.14251026703029981,1.1208486601220572e-05,1.0,1.1208486601220572e-05,0.0
57.3435676237589,0.5384615384615384,0.160371874375133,1.4194162826584728e-05,1.0,1.4194162826584728e-05,0.0
45.28147931023725,0.5384615384615384,0.18047217668271703,1.797513841777366e-05,1.0,1.797513841777366e-05,0.0
35.756623689278555,0.5384615384615384,0.20309176209047358,2.2763249912141158e-05,1.0,2.2763249912141158e-05,0.0
28.235299666272724,0.5384615384615384,0.22854638641349906,2.8826753576254425e-05,1.0,2.8826753576254425e-05,0.0
22.296068951366525,0.5384615384615384,0.2571913809059345,3.6505348874365754e-05,1.0,3.6505348874365754e-05,0.0
17.606141835211254,0.5384615384615384,0.289426612471675,4.622920049333911e-05,1.0,4.622920049333911e-05,0.0
13.902730162779536,0.5384615384615384,0.3257020655659783,5.854302200948469e-05,1.0,5.854302200948469e-05,0.0
10.978322666496954,0.5384615384615384,0.3665241237079628,7.413656623014128e-05,1.0,7.413656623014128e-05,0.0
