ctau,m,lam112,lam111,BrP,BrD,Br,Br_charged
533834189038.84393,0.13551100000000002,0.0001,0.0001,8.691415556701507e-09,1.0,8.691415556701507e-09,0.0
158887815813.78494,0.13551100000000002,0.00018329807108324357,0.00018329807108324357,2.9201576322167998e-08,1.0,2.9201576322167998e-08,0.0
47290597965.50102,0.13551100000000002,0.0003359818286283781,0.0003359818286283781,9.811198335459415e-08,1.0,9.811198335459415e-08,0.0
14075343943.022581,0.13551100000000002,0.0006158482110660267,0.0006158482110660267,3.296383594583362e-07,1.0,3.296383594583362e-07,0.0
4189317023.627201,0.13551100000000002,0.0011288378916846883,0.0011288378916846883,1.1075241264404928e-06,1.0,1.1075241264404928e-06,0.0
1246887976.2723424,0.13551100000000002,0.00206913808111479,0.00206913808111479,3.7210700872913597e-06,1.0,3.7210700872913597e-06,0.0
371117682.57309455,0.13551100000000002,0.00379269019073225,0.00379269019073225,1.2502009543063747e-05,1.0,1.2502009543063747e-05,0.0
110457664.95413041,0.13551100000000002,0.0069519279617756054,0.0069519279617756054,4.2003241078689215e-05,1.0,4.2003241078689215e-05,0.0
32876083.03254553,0.13551100000000002,0.012742749857031334,0.012742749857031334,0.00014110927070614223,1.0,0.00014110927070614223,0.0
9785077.712910783,0.13551100000000002,0.023357214690901212,0.023357214690901212,0.0004739436885134364,1.0,0.0004739436885134364,0.0
2912383.0157296476,0.13551100000000002,0.04281332398719392,0.04281332398719392,0.0015905857268843026,1.0,0.0015905857268843026,0.0
866827.538744951,0.13551100000000002,0.07847599703514607,0.07847599703514607,0.0053240950560505115,1.0,0.0053240950560505115,0.0
257998.33945892582,0.13551100000000002,0.14384498882876628,0.14384498882876628,0.01766603765204887,1.0,0.01766603765204887,0.0
76789.37295870604,0.13551100000000002,0.26366508987303583,0.26366508987303583,0.05697928742291755,1.0,0.05697928742291755,0.0
22855.216090760972,0.13551100000000002,0.4832930238571752,0.4832930238571752,0.16874982179236872,1.0,0.16874982179236872,0.0
6802.515536053174,0.13551100000000002,0.8858667904100823,0.8858667904100823,0.4054935395824817,1.0,0.4054935395824817,0.0
2024.667692245131,0.13551100000000002,1.623776739188721,1.623776739188721,0.6961984907439205,1.0,0.6961984907439205,0.0
602.612260463814,0.13551100000000002,2.9763514416313193,2.9763514416313193,0.8850500255482925,1.0,0.8850500255482925,0.0
179.35858701761848,0.13551100000000002,5.455594781168514,5.455594781168514,0.9627819833917032,1.0,0.9627819833917032,0.0
53.38341890388438,0.13551100000000002,10.0,10.0,0.9886252676266091,1.0,0.9886252676266091,0.0
20801978.074800886,0.16104435714285717,0.0001,0.0001,8.117948696162025e-09,1.0,8.117948696162025e-09,0.9277705075302374
6191399.743171672,0.16104435714285717,0.00018329807108324357,0.00018329807108324357,2.7274831953977957e-08,1.0,2.7274831953977957e-08,0.9277705075302374
1842778.1551304786,0.16104435714285717,0.0003359818286283781,0.0003359818286283781,9.163847325610597e-08,1.0,9.163847325610597e-08,0.9277705075302375
548475.5418629291,0.16104435714285717,0.0006158482110660267,0.0006158482110660267,3.0788855159204884e-07,1.0,3.0788855159204884e-07,0.9277705075302374
163245.59697232518,0.16104435714285717,0.0011288378916846883,0.0011288378916846883,1.0344488341861758e-06,1.0,1.0344488341861758e-06,0.9277705075302375
48587.626788854446,0.16104435714285717,0.00206913808111479,0.00206913808111479,3.4755516251153998e-06,1.0,3.4755516251153998e-06,0.9277705075302375
14461.385303845143,0.16104435714285717,0.00379269019073225,0.00379269019073225,1.1677126133047673e-05,1.0,1.1677126133047673e-05,0.9277705075302375
4304.216499708546,0.16104435714285717,0.0069519279617756054,0.0069519279617756054,3.923194084178272e-05,1.0,3.923194084178272e-05,0.9277705075302374
1281.086098400084,0.16104435714285717,0.012742749857031334,0.012742749857031334,0.00013179999017039993,1.0,0.00013179999017039993,0.9277705075302375
381.2962455826931,0.16104435714285717,0.023357214690901212,0.023357214690901212,0.00044268633102118856,1.0,0.00044268633102118856,0.9277705075302374
113.48716302286579,0.16104435714285717,0.04281332398719392,0.04281332398719392,0.001485793482075374,1.0,0.001485793482075374,0.9277705075302374
33.77776812697553,0.16104435714285717,0.07847599703514607,0.07847599703514607,0.004974554315301458,1.0,0.004974554315301458,0.9277705075302374
10.053450885981182,0.16104435714285717,0.14384498882876628,0.14384498882876628,0.01651967337805697,1.0,0.01651967337805697,0.9277705075302374
2.992260303785976,0.16104435714285717,0.26366508987303583,0.26366508987303583,0.05342058327354297,1.0,0.05342058327354297,0.9277705075302374
0.8906018268909558,0.16104435714285717,0.4832930238571752,0.4832930238571752,0.15939025914449642,1.0,0.15939025914449642,0.9277705075302374
0.2650744031386383,0.16104435714285717,0.8858667904100823,0.8858667904100823,0.3891503784361516,1.0,0.3891503784361516,0.9277705075302374
0.07889545819212472,0.16104435714285717,1.623776739188721,1.623776739188721,0.6815712233605967,1.0,0.6815712233605967,0.9277705075302374
0.023482061072829345,0.16104435714285717,2.9763514416313193,2.9763514416313193,0.877921062315506,1.0,0.877921062315506,0.9277705075302374
0.006989086632659046,0.16104435714285717,5.455594781168514,5.455594781168514,0.9602573234989268,1.0,0.9602573234989268,0.9277705075302374
0.002080197807480088,0.16104435714285717,10.0,10.0,0.9878315133258515,1.0,0.9878315133258515,0.9277705075302374
5691115.475000343,0.1865777142857143,0.0001,0.0001,7.470646131900438e-09,0.9999999999999999,7.470646131900436e-09,0.9411942530348494
1693875.974850759,0.1865777142857143,0.00018329807108324357,0.00018329807108324357,2.510001304181693e-08,0.9999999999999999,2.5100013041816925e-08,0.9411942530348494
