,nev,E,ctau,m,lam112,lam111,Br,cos
7,0.06191553097850982,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,-0.5
7,0.0624656267816304,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,-0.2999999999999999
7,0.06295149370697856,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,-0.0999999999999999
7,0.06287578858955147,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,0.0999999999999999
7,0.06244213590848813,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,0.3000000000000001
7,0.06181826528256643,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,0.5000000000000001
7,0.06057734033617245,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,0.7000000000000001
7,0.05732441893851861,1166.760716081662,110457664.9541304,0.14,0.0069519279617756,0.0069519279617756,4.2003241078689215e-05,0.9
8,0.6484167455613931,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,-0.9
8,0.6845060850388404,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,-0.7
8,0.6988502636150457,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,-0.5
8,0.7050622469497181,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,-0.2999999999999999
8,0.7105490148692073,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,-0.0999999999999999
8,0.7096960461405034,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,0.0999999999999999
8,0.7048016671088738,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,0.3000000000000001
8,0.6977599463562787,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,0.5000000000000001
8,0.6837531953968746,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,0.7000000000000001
8,0.6470381528477381,1166.760716081662,32876083.03254553,0.14,0.0127427498570313,0.0127427498570313,0.0001411092707061,0.9
9,7.316611608430727,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,-0.9
9,7.723948261961736,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,-0.7
9,7.885946304704892,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,-0.5
9,7.956157066880554,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,-0.2999999999999999
9,8.018180107550318,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,-0.0999999999999999
9,8.008612935984239,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,0.0999999999999999
9,7.953389742782658,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,0.3000000000000001
9,7.873928573632937,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,0.5000000000000001
9,7.7158686977142805,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,0.7000000000000001
9,7.301530655944086,1166.760716081662,9785077.712910784,0.14,0.0233572146909012,0.0233572146909012,0.0004739436885134,0.9
10,82.48156716970091,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,-0.9
10,87.07777931624086,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,-0.7
10,88.90804632045734,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,-0.5
10,89.70391626371784,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,-0.2999999999999999
10,90.40710426182129,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,-0.0999999999999999
10,90.30143444006026,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,0.0999999999999999
10,89.67927446984376,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,0.3000000000000001
10,88.78337338723159,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,0.5000000000000001
10,87.00117896154791,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,0.7000000000000001
10,82.32955154875899,1166.760716081662,2912383.015729648,0.14,0.0428133239871939,0.0428133239871939,0.0015905857268843,0.9
11,926.9178303983645,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,-0.9
11,978.7290729798069,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,-0.7
11,999.464095565654,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,-0.5
11,1008.5732965076943,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,-0.2999999999999999
11,1016.6333167717454,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,-0.0999999999999999
11,1015.528273747679,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,0.0999999999999999
11,1008.5440471593383,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,0.3000000000000001
11,998.4712920868196,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,0.5000000000000001
11,978.429521279315,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,0.7000000000000001
11,925.8921562814348,1166.760716081662,866827.538744951,0.14,0.078475997035146,0.078475997035146,0.0053240950560505,0.9
12,10308.082401930167,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,-0.9
12,10890.227841499995,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,-0.7
12,11127.019049858165,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,-0.5
12,11234.506974579574,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,-0.2999999999999999
12,11330.112706227832,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,-0.0999999999999999
12,11320.913906856647,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,0.0999999999999999
12,11243.459861100986,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,0.3000000000000001
12,11131.265972645842,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,0.5000000000000001
12,10907.873431720973,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,0.7000000000000001
12,10322.18792257354,1166.760716081662,257998.33945892585,0.14,0.1438449888287662,0.1438449888287662,0.0176660376520488,0.9
13,110779.038779189,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,-0.9
13,117250.53589086069,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,-0.7
13,120019.77906681728,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,-0.5
13,121399.464652171,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,-0.2999999999999999
13,122642.98651478851,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,-0.0999999999999999
13,122656.81708975894,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,0.0999999999999999
13,121833.61370504001,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,0.3000000000000001
13,120621.52006501086,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,0.5000000000000001
13,118202.20844916606,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,0.7000000000000001
13,111856.1854213206,1166.760716081662,76789.37295870604,0.14,0.2636650898730358,0.2636650898730358,0.0569792874229175,0.9
14,1071955.8116176703,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,-0.9
14,1141577.9010922995,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,-0.7
14,1175738.3713967411,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,-0.5
14,1196519.2056135375,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,-0.2999999999999999
14,1215761.9854107888,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,-0.0999999999999999
14,1219682.423775761,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,0.0999999999999999
14,1212030.5616608097,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,0.3000000000000001
14,1200093.712075579,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,0.5000000000000001
14,1176071.271583325,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,0.7000000000000001
14,1112954.1440555875,1166.760716081662,22855.21609076097,0.14,0.4832930238571752,0.4832930238571752,0.1687498217923687,0.9
15,7884972.099904178,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,-0.9
15,8570151.346277187,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,-0.7
15,9008821.092172176,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,-0.5
15,9356343.07782513,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,-0.2999999999999999
15,9692053.769991526,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,-0.0999999999999999
15,9825215.063704316,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,0.0999999999999999
15,9778035.77887488,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,0.3000000000000001
15,9685024.91704868,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,0.5000000000000001
15,9492457.069741277,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,0.7000000000000001
15,8983658.407643897,1166.760716081662,6802.515536053174,0.14,0.8858667904100823,0.8858667904100823,0.4054935395824817,0.9
16,33524768.608821254,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,-0.9
16,38904830.74236312,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,-0.7
16,43703285.84808687,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,-0.5
16,48524779.12227308,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,-0.2999999999999999
16,53592918.76332934,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,-0.0999999999999999
16,56258640.42130812,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,0.0999999999999999
16,56267284.12176763,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,0.3000000000000001
16,55795666.44898615,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,0.5000000000000001
16,54711418.22422131,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,0.7000000000000001
16,51791262.559445895,1166.760716081662,2024.667692245131,0.14,1.623776739188721,1.623776739188721,0.6961984907439205,0.9
17,56063023.91791165,1166.760716081662,602.612260463814,0.14,2.9763514416313197,2.9763514416313197,0.8850500255482925,-0.9
17,78340675.71145505,1166.760716081662,602.612260463814,0.14,2.9763514416313197,2.9763514416313197,0.8850500255482925,-0.7
17,107190987.567356,1166.760716081662,602.612260463814,0.14,2.9763514416313197,2.9763514416313197,0.8850500255482925,-0.5
