,nev,E,ctau,m,lam121,lam112,Br,cos
0,0.027803087199142776,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,-0.9
0,0.03696921646722422,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,-0.7
0,0.04878847262675845,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,-0.5
0,0.06541550520532118,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,-0.2999999999999999
0,0.08886797311001714,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,-0.0999999999999999
0,0.10529744017569538,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,0.0999999999999999
0,0.10661495055582668,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,0.3000000000000001
0,0.10544688097382326,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,0.5000000000000001
0,0.10299795394154304,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,0.7000000000000001
0,0.0970779027145613,1166.760716081662,623.8423438597877,0.5,1e-07,1e-07,5.657284852362789e-06,0.9
1,0.04303536191692364,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,-0.9
1,0.06097878845417376,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,-0.7
1,0.08756116193608052,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,-0.5
1,0.1316482807271833,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,-0.2999999999999999
1,0.20739496562338863,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,-0.0999999999999999
1,0.271427494092436,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,0.0999999999999999
1,0.2790338715092705,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,0.3000000000000001
1,0.2769206022902508,1166.760716081662,384.19219145328657,0.5,1.274274985703135e-07,1.274274985703135e-07,9.186135133438088e-06,0.5000000000000001
