,nev,E,ctau,m,lam121,Br,cos
3,4.912193568645892e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,-0.5
3,4.995646994023968e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,-0.2999999999999999
3,5.035541262605915e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,-0.0999999999999999
3,5.059271538694029e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,0.0999999999999999
3,5.001146973455071e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,0.3000000000000001
3,4.915208857090795e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,0.5000000000000001
3,4.788803899121388e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,0.7000000000000001
3,4.507525374134514e-10,1166.760716081662,28438014.128824383,0.5,0.0042813323987193,1.036975256717849e-08,0.9
4,3.1337291220669605e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,-0.9
4,3.323437281136179e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,-0.7
4,3.41444409943665e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,-0.5
4,3.4725375109981638e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,-0.2999999999999999
4,3.5003497451555573e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,-0.0999999999999999
4,3.5168895056440073e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,0.0999999999999999
4,3.4764908754310146e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,0.3000000000000001
4,3.4167530324723885e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,0.5000000000000001
4,3.3288845110613672e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,0.7000000000000001
4,3.133357335814274e-09,1166.760716081662,10785657.723029746,0.5,0.0069519279617756,2.734141696183321e-08,0.9
5,2.1779525502507538e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,-0.9
5,2.3099524570306587e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,-0.7
5,2.3733620147930417e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,-0.5
5,2.4138987640351738e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,-0.2999999999999999
5,2.4333812587277163e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,-0.0999999999999999
5,2.444959662545773e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,0.0999999999999999
5,2.4168853010455585e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,0.3000000000000001
5,2.3753577394764254e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,0.5000000000000001
5,2.3142716888427923e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,0.7000000000000001
5,2.178339758544263e-08,1166.760716081662,4090665.8246730464,0.5,0.0112883789168468,7.208976837908046e-08,0.9
6,1.5129328124612646e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,-0.9
6,1.6049054042664798e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,-0.7
6,1.649245620152967e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,-0.5
6,1.677700922472373e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,-0.2999999999999999
6,1.6915146480671608e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,-0.0999999999999999
6,1.6997106836725608e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,0.0999999999999999
6,1.6802137953507968e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,0.3000000000000001
6,1.651348303665419e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,0.5000000000000001
6,1.6088830258612458e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,0.7000000000000001
6,1.5143839695932624e-07,1166.760716081662,1551462.814680111,0.5,0.0183298071083243,1.9007553015975545e-07,0.9
7,1.0485106913544874e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,-0.9
7,1.1137684255033918e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,-0.7
7,1.1450598223013711e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,-0.5
7,1.1653402495967545e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,-0.2999999999999999
7,1.1754354623669593e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,-0.0999999999999999
7,1.181401040944657e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,0.0999999999999999
7,1.1678863941992343e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,0.3000000000000001
7,1.1478308191070355e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,0.5000000000000001
7,1.1183169988811504e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,0.7000000000000001
7,1.052633261604517e-06,1166.760716081662,588421.7798523104,0.5,0.0297635144163131,5.011626615170354e-07,0.9
8,7.249107005475892e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,-0.9
8,7.702503733748223e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,-0.7
8,7.928361405016063e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,-0.5
8,8.078352008868166e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,-0.2999999999999999
8,8.157466585266596e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,-0.0999999999999999
8,8.203811965427934e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,0.0999999999999999
8,8.110647681314643e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,0.3000000000000001
8,7.97150542946686e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,0.5000000000000001
8,7.766605524456646e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,0.7000000000000001
8,7.310462670738767e-06,1166.760716081662,223170.1512459069,0.5,0.0483293023857175,1.3213898980575726e-06,0.9
9,4.9688010463115443e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,-0.9
9,5.295941631830319e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,-0.7
9,5.4685305981246134e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,-0.5
9,5.589330900727321e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,-0.2999999999999999
9,5.660737037294976e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,-0.0999999999999999
9,5.70190058155276e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,0.0999999999999999
9,5.6384318960856236e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,0.3000000000000001
9,5.54197783131721e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,0.5000000000000001
9,5.3996345340198416e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,0.7000000000000001
9,5.0825596409731445e-05,1166.760716081662,84641.52434945834,0.5,0.0784759970351461,3.484036327521742e-06,0.9
10,0.0003327029427677621,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,-0.9
10,0.0003575847141497407,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,-0.7
10,0.0003722508009059871,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,-0.5
10,0.00038356663898214856,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,-0.2999999999999999
10,0.0003914751956444201,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,-0.0999999999999999
10,0.00039597167837502847,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,0.0999999999999999
10,0.00039179007434850266,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,0.3000000000000001
10,0.00038513856351039935,1166.760716081662,32101.90791288156,0.5,0.1274274985703133,9.186135133438066e-06,0.5000000000000001
