,nev,E,ctau,m,lam121,Br,cos
0,0.0011440888495606873,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,-0.9
0,0.0012187149748172782,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,-0.7
0,0.001256788076026692,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,-0.5
0,0.0012820464087943612,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,-0.2999999999999999
0,0.0013047692712501496,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,-0.0999999999999999
0,0.0013067046249470022,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,0.0999999999999999
0,0.0012910786344810313,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,0.3000000000000001
0,0.0012699082913776943,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,0.5000000000000001
0,0.0012376646715534627,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,0.7000000000000001
0,0.0011651800826750454,1166.760716081662,52126.331352515415,0.5,0.1,5.657284852362789e-06,0.9
1,0.0018255122836576985,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,-0.9
1,0.0019467567359783063,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,-0.7
1,0.0020098093750092285,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,-0.5
1,0.0020524730890134966,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,-0.2999999999999999
1,0.0020909623479808364,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,-0.0999999999999999
1,0.0020952380281155964,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,0.0999999999999999
1,0.0020703513611933714,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,0.3000000000000001
1,0.0020364406953498693,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,0.5000000000000001
1,0.001984746424218329,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,0.7000000000000001
1,0.0018685157431612915,1166.760716081662,41161.676757613226,0.5,0.1125335582600765,7.164262576228245e-06,0.9
2,0.002908928515475689,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,-0.9
2,0.0031064929413326422,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,-0.7
2,0.003211624001634661,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,-0.5
2,0.00328440149170596,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,-0.2999999999999999
2,0.0033505752455478114,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,-0.0999999999999999
2,0.0033598328854906575,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,0.0999999999999999
2,0.003320260250535351,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,0.3000000000000001
2,0.0032659488549092036,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,0.5000000000000001
2,0.0031830753940259152,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,0.7000000000000001
2,0.0029966819978082494,1166.760716081662,32503.412182228643,0.5,0.1266380173467403,9.072662769621476e-06,0.9
3,0.0046274439224891295,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,-0.9
3,0.004950141269627336,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,-0.7
3,0.005126765712205986,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,-0.5
3,0.005252613545790624,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,-0.2999999999999999
3,0.0053674538401212845,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,-0.0999999999999999
3,0.005387146489627068,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,0.0999999999999999
3,0.005324403878642661,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,0.3000000000000001
3,0.005237522978007537,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,0.5000000000000001
3,0.005104597962329925,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,0.7000000000000001
3,0.004805713522379567,1166.760716081662,25666.393760124112,0.5,0.1425102670302998,1.148941248465112e-05,0.9
4,0.007345680723353369,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,-0.9
4,0.007876091219186608,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,-0.7
4,0.008175451928267807,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,-0.5
4,0.008394236594988665,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,-0.2999999999999999
4,0.00859553663443786,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,-0.0999999999999999
4,0.008636899677657224,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,0.0999999999999999
4,0.008537675752078477,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,0.3000000000000001
4,0.008398570421383329,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,0.5000000000000001
4,0.00818566402123222,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,0.7000000000000001
4,0.0077064362213650405,1166.760716081662,20267.526527873884,0.5,0.160371874375133,1.4549919644569857e-05,0.9
5,0.011629464084537081,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,-0.9
5,0.012504168207937082,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,-0.7
5,0.013016140885102044,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,-0.5
5,0.013402301572476754,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,-0.2999999999999999
5,0.013760158544230575,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,-0.0999999999999999
5,0.013846394701631543,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,0.0999999999999999
5,0.013691385503023594,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,0.3000000000000001
5,0.013468921751975284,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,0.5000000000000001
5,0.01312773301847197,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,0.7000000000000001
5,0.012359290358260139,1166.760716081662,16004.298671528091,0.5,0.180472176682717,1.842565834907409e-05,0.9
6,0.018349228837683158,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,-0.9
6,0.019799579490841164,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,-0.7
6,0.020683605170365355,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,-0.5
6,0.021372977305404123,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,-0.2999999999999999
6,0.02202021039301795,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,-0.0999999999999999
6,0.02219894788327641,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,0.0999999999999999
6,0.02195417977728304,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,0.3000000000000001
6,0.021598715331195943,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,0.5000000000000001
6,0.021052078850831886,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,0.7000000000000001
6,0.01982007530733003,1166.760716081662,12637.831045402132,0.5,0.2030917620904735,2.3333773888820968e-05,0.9
7,0.02883152640290069,1166.760716081662,9979.492185825377,0.5,0.228546386413499,2.9549244957069895e-05,-0.9
